,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Mickael Gelabale,33.0,5,10,3,5,0,0,3,6,2,0,0,2,1,13,france,2012-07-31,argentina,201207316,Group A,20126,mens-olympics
1,Tony Parker,31.0,4,17,0,5,9,10,1,1,5,1,0,2,1,17,france,2012-07-31,argentina,201207316,Group A,20126,mens-olympics
2,Nicolas Batum,28.0,5,9,3,6,1,2,0,7,3,1,1,3,3,14,france,2012-07-31,argentina,201207316,Group A,20126,mens-olympics
3,Florent Pietrus,23.0,0,1,0,1,0,0,0,5,1,0,1,0,2,0,france,2012-07-31,argentina,201207316,Group A,20126,mens-olympics
4,Nando De Colo,20.0,3,8,3,6,2,2,1,4,2,0,0,2,0,11,france,2012-07-31,argentina,201207316,Group A,20126,mens-olympics
5,Ronny Turiaf,18.0,1,3,0,0,0,0,1,3,0,0,0,2,5,2,france,2012-07-31,argentina,201207316,Group A,20126,mens-olympics
6,Boris Diaw,18.0,1,6,0,2,0,0,1,6,3,0,0,2,5,2,france,2012-07-31,argentina,201207316,Group A,20126,mens-olympics
7,Kevin Seraphin,14.0,5,7,0,0,0,0,3,7,0,1,3,0,4,10,france,2012-07-31,argentina,201207316,Group A,20126,mens-olympics
8,Yannick Bokolo,8.0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,france,2012-07-31,argentina,201207316,Group A,20126,mens-olympics
9,Ali Traore,6.0,1,2,0,0,0,0,0,2,1,0,0,2,2,2,france,2012-07-31,argentina,201207316,Group A,20126,mens-olympics
10,Totals,,25,64,9,25,12,14,10,42,17,4,5,15,24,71,france,2012-07-31,argentina,201207316,Group A,20126,mens-olympics
0,Pablo Prigioni,36.0,2,6,0,4,3,4,2,4,8,3,0,4,4,7,argentina,2012-07-31,france,201207316,Group A,20126,mens-olympics
1,Andres Nocioni,36.0,2,7,0,3,2,2,0,4,0,0,0,0,3,6,argentina,2012-07-31,france,201207316,Group A,20126,mens-olympics
2,Manu Ginobili,35.0,9,20,3,7,5,5,1,5,1,2,0,4,3,26,argentina,2012-07-31,france,201207316,Group A,20126,mens-olympics
3,Luis Scola,33.0,7,15,0,0,2,4,3,8,2,1,0,2,3,16,argentina,2012-07-31,france,201207316,Group A,20126,mens-olympics
4,Carlos Delfino,32.0,1,8,0,5,2,3,0,4,0,1,1,0,2,4,argentina,2012-07-31,france,201207316,Group A,20126,mens-olympics
5,Leo Gutierrez,8.0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,argentina,2012-07-31,france,201207316,Group A,20126,mens-olympics
6,Juan Gutierrez,8.0,1,2,0,0,0,0,1,3,0,0,0,1,0,2,argentina,2012-07-31,france,201207316,Group A,20126,mens-olympics
7,Hernan Jasen,7.0,1,1,1,1,0,0,0,1,0,0,0,0,2,3,argentina,2012-07-31,france,201207316,Group A,20126,mens-olympics
8,Facu Campazzo,4.0,0,2,0,2,0,0,0,0,1,0,0,0,2,0,argentina,2012-07-31,france,201207316,Group A,20126,mens-olympics
9,Martin Leiva,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argentina,2012-07-31,france,201207316,Group A,20126,mens-olympics
10,Totals,,23,62,4,23,14,18,7,29,12,8,1,12,20,64,argentina,2012-07-31,france,201207316,Group A,20126,mens-olympics
