,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Pau Gasol,26.0,8,11,0,0,4,6,3,10,2,1,3,0,2,20,spain,2008-08-20,croatia,2008082033,Quarter-Finals,200833,mens-olympics
1,Jorge Garbajosa,21.0,3,6,2,5,0,0,1,1,1,0,0,1,1,8,spain,2008-08-20,croatia,2008082033,Quarter-Finals,200833,mens-olympics
2,Alex Mumbru,21.0,2,4,1,2,2,2,0,1,1,0,0,1,2,7,spain,2008-08-20,croatia,2008082033,Quarter-Finals,200833,mens-olympics
3,Rudy Fernandez,20.0,3,4,1,2,1,2,0,1,1,1,0,3,4,8,spain,2008-08-20,croatia,2008082033,Quarter-Finals,200833,mens-olympics
4,Felipe Reyes,19.0,4,8,0,0,5,8,1,3,0,0,0,1,1,13,spain,2008-08-20,croatia,2008082033,Quarter-Finals,200833,mens-olympics
5,Jose Calderon,18.0,4,5,2,2,0,0,0,1,2,0,0,1,0,10,spain,2008-08-20,croatia,2008082033,Quarter-Finals,200833,mens-olympics
6,Ricky Rubio,17.0,1,3,0,1,1,2,3,6,1,0,0,3,2,3,spain,2008-08-20,croatia,2008082033,Quarter-Finals,200833,mens-olympics
7,Carlos Jimenez,17.0,0,7,0,6,0,0,1,6,0,1,0,0,3,0,spain,2008-08-20,croatia,2008082033,Quarter-Finals,200833,mens-olympics
8,Marc Gasol,14.0,1,3,0,0,1,2,1,6,0,0,0,2,2,3,spain,2008-08-20,croatia,2008082033,Quarter-Finals,200833,mens-olympics
9,Berni Rodriguez,12.0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,spain,2008-08-20,croatia,2008082033,Quarter-Finals,200833,mens-olympics
10,Juan Carlos Navarro,10.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,spain,2008-08-20,croatia,2008082033,Quarter-Finals,200833,mens-olympics
11,Raul Lopez,5.0,0,1,0,1,0,0,0,0,0,1,0,2,1,0,spain,2008-08-20,croatia,2008082033,Quarter-Finals,200833,mens-olympics
12,Totals,,26,53,6,20,14,22,11,36,9,4,3,16,20,72,spain,2008-08-20,croatia,2008082033,Quarter-Finals,200833,mens-olympics
0,Davor Kus,31.0,1,7,1,5,4,5,2,3,2,1,0,0,3,7,croatia,2008-08-20,spain,2008082033,Quarter-Finals,200833,mens-olympics
1,Marko Banic,27.0,6,8,1,1,2,3,4,5,1,1,1,3,3,15,croatia,2008-08-20,spain,2008082033,Quarter-Finals,200833,mens-olympics
2,Zoran Planinic,27.0,3,9,2,3,4,6,0,5,0,1,0,3,3,12,croatia,2008-08-20,spain,2008082033,Quarter-Finals,200833,mens-olympics
3,Nikola Prkacin,24.0,0,3,0,0,1,2,0,3,1,2,0,1,3,1,croatia,2008-08-20,spain,2008082033,Quarter-Finals,200833,mens-olympics
4,Marko Tomas,23.0,3,9,1,5,0,0,0,3,1,2,0,3,4,7,croatia,2008-08-20,spain,2008082033,Quarter-Finals,200833,mens-olympics
5,Roko Ukic,20.0,2,7,0,4,3,4,0,2,0,2,0,1,0,7,croatia,2008-08-20,spain,2008082033,Quarter-Finals,200833,mens-olympics
6,Marin Rozic,19.0,2,3,0,1,0,0,0,2,0,1,0,1,5,4,croatia,2008-08-20,spain,2008082033,Quarter-Finals,200833,mens-olympics
7,Kresimir Loncar,14.0,2,5,0,0,0,0,1,2,0,1,1,1,3,4,croatia,2008-08-20,spain,2008082033,Quarter-Finals,200833,mens-olympics
8,Sandro Nicevic,13.0,1,2,0,0,0,0,1,3,2,1,1,1,1,2,croatia,2008-08-20,spain,2008082033,Quarter-Finals,200833,mens-olympics
9,Stanko Barac,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,croatia,2008-08-20,spain,2008082033,Quarter-Finals,200833,mens-olympics
10,Totals,,20,53,5,19,14,20,8,29,7,12,3,14,25,59,croatia,2008-08-20,spain,2008082033,Quarter-Finals,200833,mens-olympics
