,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Andrew Bogut,27.0,7,7,1,1,1,5,1,11,1,1,3,0,1,16,australia,2004-08-17,angola,200408176,Group B,W
1,Shane Heal,25.0,3,11,2,7,10,11,1,2,1,0,0,4,2,18,australia,2004-08-17,angola,200408176,Group B,W
2,Jason Smith,23.0,2,6,2,5,0,0,2,3,3,0,0,1,2,6,australia,2004-08-17,angola,200408176,Group B,W
3,Brett Maher,21.0,5,6,2,2,2,2,0,3,0,1,0,1,1,14,australia,2004-08-17,angola,200408176,Group B,W
4,Glen Saville,21.0,2,5,0,1,0,0,3,5,1,0,1,4,3,4,australia,2004-08-17,angola,200408176,Group B,W
5,Matt Nielsen,20.0,5,9,0,0,4,6,1,5,0,3,0,1,2,14,australia,2004-08-17,angola,200408176,Group B,W
6,David Andersen,14.0,1,4,0,0,0,2,0,3,0,0,1,1,0,2,australia,2004-08-17,angola,200408176,Group B,W
7,Tony Ronaldson,14.0,0,2,0,0,0,0,0,4,0,0,0,1,2,0,australia,2004-08-17,angola,200408176,Group B,W
8,John Rillie,11.0,0,2,0,2,0,0,1,2,0,0,0,0,0,0,australia,2004-08-17,angola,200408176,Group B,W
9,C.J. Bruton,10.0,3,4,0,0,0,0,0,1,1,0,0,0,3,6,australia,2004-08-17,angola,200408176,Group B,W
10,Martin Cattalini,9.0,0,2,0,0,0,0,0,4,1,0,0,3,2,0,australia,2004-08-17,angola,200408176,Group B,W
11,Paul Rogers,6.0,1,1,0,0,1,4,0,1,0,0,0,0,1,3,australia,2004-08-17,angola,200408176,Group B,W
12,Totals,,29,59,7,18,18,30,9,44,8,5,5,16,19,83,australia,2004-08-17,angola,200408176,Group B,W
0,Joaquim Gomes,29.0,4,12,1,3,0,0,3,9,0,2,0,4,4,9,angola,2004-08-17,australia,200408176,Group B,L
1,Miguel Lutonda,27.0,1,9,1,4,2,2,2,3,1,1,0,1,3,5,angola,2004-08-17,australia,200408176,Group B,L
2,Victor Muzadi,25.0,3,9,0,2,0,2,3,5,1,3,1,1,3,6,angola,2004-08-17,australia,200408176,Group B,L
3,Valter Monteiro,24.0,4,13,4,8,6,7,3,8,0,0,0,0,5,18,angola,2004-08-17,australia,200408176,Group B,L
4,Abdel Moussa,24.0,1,3,0,0,2,4,1,4,0,0,0,1,3,4,angola,2004-08-17,australia,200408176,Group B,L
5,Edmar Victoriano,22.0,2,8,1,5,0,0,1,4,1,0,0,1,1,5,angola,2004-08-17,australia,200408176,Group B,L
6,Walter Costa,20.0,4,10,2,5,2,4,1,2,0,1,0,2,5,12,angola,2004-08-17,australia,200408176,Group B,L
7,Victor de Carvalho,13.0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,angola,2004-08-17,australia,200408176,Group B,L
8,Carlos Almeida,12.0,0,4,0,1,0,0,0,0,1,0,0,1,0,0,angola,2004-08-17,australia,200408176,Group B,L
9,Angelo Victoriano,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,angola,2004-08-17,australia,200408176,Group B,L
10,Olimpio Cipriano,2.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,angola,2004-08-17,australia,200408176,Group B,L
11,Totals,,19,71,9,30,12,19,15,36,4,7,1,11,24,59,angola,2004-08-17,australia,200408176,Group B,L
