,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Joe Ingles,27.0,4,7,0,3,2,2,0,2,5,2,0,1,3,10,australia,2016-08-17,lithuania,2016081732,Quarter-Finals,201632
1,Patty Mills,27.0,8,15,5,11,3,4,1,1,0,0,0,1,2,24,australia,2016-08-17,lithuania,2016081732,Quarter-Finals,201632
2,David Andersen,26.0,2,6,0,2,2,3,3,6,3,0,0,1,1,6,australia,2016-08-17,lithuania,2016081732,Quarter-Finals,201632
3,Aron Baynes,23.0,7,9,0,0,2,3,1,5,3,0,0,0,0,16,australia,2016-08-17,lithuania,2016081732,Quarter-Finals,201632
4,Ryan Broekhoff,20.0,2,5,1,2,2,2,0,3,4,0,1,1,1,7,australia,2016-08-17,lithuania,2016081732,Quarter-Finals,201632
5,Andrew Bogut,20.0,3,4,0,0,0,0,1,7,6,0,0,1,4,6,australia,2016-08-17,lithuania,2016081732,Quarter-Finals,201632
6,Matthew Dellavedova,19.0,5,12,4,7,1,1,0,1,3,1,0,1,0,15,australia,2016-08-17,lithuania,2016081732,Quarter-Finals,201632
7,Damian Martin,16.0,1,2,0,0,0,0,0,1,4,4,0,0,5,2,australia,2016-08-17,lithuania,2016081732,Quarter-Finals,201632
8,Kevin Lisch,15.0,0,1,0,0,0,0,0,2,2,1,0,2,2,0,australia,2016-08-17,lithuania,2016081732,Quarter-Finals,201632
9,Brock Motum,4.0,1,2,0,0,2,2,0,0,0,0,0,0,0,4,australia,2016-08-17,lithuania,2016081732,Quarter-Finals,201632
10,Chris Goulding,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,australia,2016-08-17,lithuania,2016081732,Quarter-Finals,201632
11,Totals,,33,63,10,25,14,17,6,29,30,8,1,8,18,90,australia,2016-08-17,lithuania,2016081732,Quarter-Finals,201632
0,Mindaugas Kuzminskas,31.0,3,7,0,1,0,0,3,6,2,0,0,3,3,6,lithuania,2016-08-17,australia,2016081732,Quarter-Finals,201632
1,Mantas Kalnietis,30.0,6,13,0,3,0,2,1,3,5,1,1,1,3,12,lithuania,2016-08-17,australia,2016081732,Quarter-Finals,201632
2,Renaldas Seibutis,25.0,4,7,0,2,0,0,0,1,3,1,1,2,1,8,lithuania,2016-08-17,australia,2016081732,Quarter-Finals,201632
3,Jonas Valanciunas,24.0,2,5,0,0,1,2,2,8,0,0,1,0,1,5,lithuania,2016-08-17,australia,2016081732,Quarter-Finals,201632
4,Marius Grigonis,20.0,0,2,0,1,0,0,0,0,2,0,0,2,3,0,lithuania,2016-08-17,australia,2016081732,Quarter-Finals,201632
5,Antanas Kavaliauskas,16.0,5,6,0,0,2,2,0,1,0,0,0,1,0,12,lithuania,2016-08-17,australia,2016081732,Quarter-Finals,201632
6,Adas Juskevicius,15.0,2,4,1,3,0,0,0,0,2,1,0,2,3,5,lithuania,2016-08-17,australia,2016081732,Quarter-Finals,201632
7,Domantas Sabonis,14.0,0,3,0,2,1,4,1,4,0,0,0,1,2,1,lithuania,2016-08-17,australia,2016081732,Quarter-Finals,201632
8,Jonas Maciulis,12.0,2,6,2,2,0,0,0,3,0,0,0,2,5,6,lithuania,2016-08-17,australia,2016081732,Quarter-Finals,201632
9,Paulius Jankunas,8.0,2,3,1,1,0,0,0,1,0,0,1,0,1,5,lithuania,2016-08-17,australia,2016081732,Quarter-Finals,201632
10,Vaidas Kariniauskas,5.0,2,2,0,0,0,2,1,1,0,1,0,1,0,4,lithuania,2016-08-17,australia,2016081732,Quarter-Finals,201632
11,Totals,,28,58,4,15,4,12,8,28,14,4,4,15,22,64,lithuania,2016-08-17,australia,2016081732,Quarter-Finals,201632
